214,58.39,40.11,30.63,25.85
215,58.59,39.84,30.63,25.96
216,58.59,39.57,30.75,25.74
217,58.99,39.17,30.17,26.07
218,59.60,39.30,30.51,26.07
219,59.80,39.30,30.51,25.96
220,59.80,39.30,30.51,26.18
221,60.01,39.57,30.63,26.18
222,59.60,39.70,30.51,26.18
223,58.79,39.84,30.86,25.96
224,59.40,40.11,30.75,26.18
225,59.19,40.25,30.75,26.30
226,58.79,40.38,31.21,26.07
227,58.99,40.66,31.33,26.52
228,59.19,40.52,31.45,26.63
229,58.59,41.35,31.57,26.74
230,59.19,41.76,31.45,26.74
231,59.19,41.90,31.80,26.85
232,58.99,42.05,31.92,26.63
233,58.79,42.05,31.92,26.96
234,58.59,42.19,31.92,26.96
235,58.19,42.19,31.68,26.74
236,58.39,41.62,31.92,26.96
237,58.39,41.76,31.33,26.96
238,58.39,41.62,31.80,26.96
239,57.99,41.48,31.92,26.30
